Date,EKS,EC2_Compute,EC2_Other,Tax,ALB_ELB,VPC,RDS,CloudWatch,KMS,S3,Secrets_Mgr,Total
2026-02-01,14.40,14.23,4.27,72.55,1.08,0.84,0.41,0.00,0.18,0.20,0.03,108.19
2026-02-02,14.40,15.46,5.03,0.00,2.00,1.09,1.20,0.00,0.18,0.21,0.04,39.64
2026-02-03,14.40,18.95,5.33,0.00,3.33,1.79,2.14,0.71,0.21,0.21,0.09,47.17
2026-02-04,14.40,19.49,5.79,0.00,2.36,1.40,1.97,1.41,0.22,0.20,0.09,47.36
2026-02-05,14.40,12.85,5.33,0.00,3.24,1.81,1.14,1.72,0.25,0.20,0.09,41.06
2026-02-06,14.40,10.15,5.40,0.00,3.24,2.17,1.29,1.32,0.23,0.20,0.10,38.53
2026-02-07,14.40,0.25,3.63,0.00,3.24,2.76,0.41,0.50,0.25,0.20,0.10,25.74
2026-02-08,14.40,0.25,3.63,0.00,3.24,2.76,0.41,0.50,0.25,0.20,0.10,25.74
2026-02-09,14.40,9.91,5.58,0.00,4.23,3.16,1.30,1.34,0.25,0.21,0.11,40.59
2026-02-10,9.52,10.99,5.15,0.00,4.43,3.50,1.30,1.36,0.25,0.22,0.11,36.97
2026-02-11,2.40,8.53,4.29,0.00,2.32,3.32,1.29,1.34,0.25,0.21,0.11,24.13
2026-02-12,2.40,10.04,4.42,0.00,2.81,3.53,1.29,1.48,0.25,0.20,0.11,26.61
2026-02-13,2.40,13.05,3.97,0.00,3.15,3.66,1.30,1.70,0.25,0.20,0.12,29.87
2026-02-14,2.40,0.25,2.56,0.00,2.16,3.24,0.41,0.53,0.25,0.20,0.11,12.11
2026-02-15,2.40,0.25,2.56,0.00,2.16,3.24,0.41,0.53,0.25,0.20,0.11,12.11
2026-02-16,2.40,2.96,3.04,0.00,2.16,3.25,0.68,0.76,0.25,0.20,0.11,15.83
2026-02-17,2.40,1.28,2.90,0.00,2.16,3.24,0.51,0.65,0.25,0.20,0.11,13.72
2026-02-18,1.60,2.75,2.04,0.00,1.44,1.98,0.58,0.69,0.15,0.21,0.08,11.52
